County,Population,OnSale_Ratio,OffSale_Ratio,CTract,Map_tracts,Ctract_Pop,OnSale_actual,OffSale_actual,OnSale_auth,OffSale_auth,excess_offsale,excess_onsale
SAN FRANCISCO,845602,275,1060,230.01,23001,5216,18,4,0,1,-3,-18
SAN FRANCISCO,845602,275,1060,230.03,23003,4093,14,3,2,0,-3,-12
SAN FRANCISCO,845602,275,1060,231.02,23102,3478,12,3,0,1,-2,-12
SAN FRANCISCO,845602,275,1060,231.03,23103,3725,13,3,1,1,-2,-12
SAN FRANCISCO,845602,275,1060,232,23200,4582,16,4,2,4,0,-14
SAN FRANCISCO,845602,275,1060,233,23300,2624,9,2,3,1,-1,-6
SAN FRANCISCO,845602,275,1060,234,23400,3660,13,3,0,3,0,-13
SAN FRANCISCO,845602,275,1060,251,25100,3077,11,2,3,3,1,-8
SAN FRANCISCO,845602,275,1060,252,25200,5369,19,5,14,5,0,-5
SAN FRANCISCO,845602,275,1060,253,25300,4362,15,4,47,6,2,32
SAN FRANCISCO,845602,275,1060,254.01,25401,3404,12,3,8,4,1,-4
SAN FRANCISCO,845602,275,1060,254.02,25402,2912,10,2,2,1,-1,-8
SAN FRANCISCO,845602,275,1060,254.03,25403,4267,15,4,3,2,-2,-12
SAN FRANCISCO,845602,275,1060,255,25500,8471,30,7,4,6,-1,-26
SAN FRANCISCO,845602,275,1060,256,25600,5618,20,5,0,3,-2,-20
SAN FRANCISCO,845602,275,1060,257.01,25701,4788,17,4,0,1,-3,-17
SAN FRANCISCO,845602,275,1060,257.02,25702,4665,16,4,9,5,1,-7
SAN FRANCISCO,845602,275,1060,258,25800,1960,7,1,4,1,0,-3
SAN FRANCISCO,845602,275,1060,259,25900,4261,15,4,0,0,-4,-15
SAN FRANCISCO,845602,275,1060,260.01,26001,5863,21,5,14,5,0,-7
SAN FRANCISCO,845602,275,1060,260.02,26002,3544,12,3,0,0,-3,-12
SAN FRANCISCO,845602,275,1060,260.03,26003,4908,17,4,0,1,-3,-17
SAN FRANCISCO,845602,275,1060,260.04,26004,4315,15,4,4,1,-3,-11
SAN FRANCISCO,845602,275,1060,261,26100,6810,24,6,12,3,-3,-12
SAN FRANCISCO,845602,275,1060,262,26200,7564,27,7,3,2,-5,-24
SAN FRANCISCO,845602,275,1060,263.01,26301,4875,17,4,10,1,-3,-7
SAN FRANCISCO,845602,275,1060,263.02,26302,4992,18,4,0,1,-3,-18
SAN FRANCISCO,845602,275,1060,263.03,26303,4551,16,4,0,3,-1,-16
SAN FRANCISCO,845602,275,1060,264.01,26401,4044,14,3,0,2,-1,-14
SAN FRANCISCO,845602,275,1060,264.02,26402,4118,14,3,0,0,-3,-14
SAN FRANCISCO,845602,275,1060,264.03,26403,4140,15,3,1,2,-1,-14
SAN FRANCISCO,845602,275,1060,264.04,26404,2851,10,2,0,1,-1,-10
SAN FRANCISCO,845602,275,1060,301.01,30101,4233,15,3,9,6,3,-6
SAN FRANCISCO,845602,275,1060,301.02,30102,4838,17,4,1,2,-2,-16
SAN FRANCISCO,845602,275,1060,302.01,30201,3928,14,3,7,1,-2,-7
SAN FRANCISCO,845602,275,1060,302.02,30202,4313,15,4,40,9,5,25
SAN FRANCISCO,845602,275,1060,303.01,30301,5658,20,5,0,0,-5,-20
SAN FRANCISCO,845602,275,1060,303.02,30302,3549,12,3,0,2,-1,-12
SAN FRANCISCO,845602,275,1060,304,30400,5106,18,4,6,4,0,-12
SAN FRANCISCO,845602,275,1060,305,30500,3046,11,2,0,0,-2,-11
SAN FRANCISCO,845602,275,1060,306,30600,2221,8,2,4,3,1,-4
SAN FRANCISCO,845602,275,1060,307,30700,6343,23,5,0,0,-5,-23
SAN FRANCISCO,845602,275,1060,308,30800,5667,20,5,29,4,-1,9
SAN FRANCISCO,845602,275,1060,309,30900,6581,23,6,9,3,-3,-14
SAN FRANCISCO,845602,275,1060,310,31000,3494,12,3,5,4,1,-7
SAN FRANCISCO,845602,275,1060,311,31100,6193,22,5,5,4,-1,-17
SAN FRANCISCO,845602,275,1060,312.01,31201,6167,22,5,3,5,0,-19
SAN FRANCISCO,845602,275,1060,312.02,31202,3137,11,2,0,1,-1,-11
SAN FRANCISCO,845602,275,1060,313.01,31301,3826,13,3,0,0,-3,-13
SAN FRANCISCO,845602,275,1060,313.02,31302,5495,19,5,1,3,-2,-18
SAN FRANCISCO,845602,275,1060,314,31400,6676,24,6,0,2,-4,-24
SAN FRANCISCO,845602,275,1060,326.01,32601,4416,16,4,15,4,0,-1
SAN FRANCISCO,845602,275,1060,326.02,32602,4316,15,4,1,1,-3,-14
SAN FRANCISCO,845602,275,1060,327,32700,6572,23,6,2,1,-5,-21
SAN FRANCISCO,845602,275,1060,328.01,32801,4238,15,3,4,2,-1,-11
SAN FRANCISCO,845602,275,1060,328.02,32802,4047,14,3,14,1,-2,0
SAN FRANCISCO,845602,275,1060,329.01,32901,5021,18,4,4,1,-3,-14
SAN FRANCISCO,845602,275,1060,329.02,32902,3831,13,3,5,3,0,-8
SAN FRANCISCO,845602,275,1060,330,33000,7764,28,7,17,2,-5,-11
SAN FRANCISCO,845602,275,1060,331,33100,3968,14,3,2,1,-2,-12
SAN FRANCISCO,845602,275,1060,332.01,33201,3683,13,3,8,1,-2,-5
SAN FRANCISCO,845602,275,1060,332.03,33203,3472,12,3,4,1,-2,-8
SAN FRANCISCO,845602,275,1060,332.04,33204,3821,13,3,0,0,-3,-13
SAN FRANCISCO,845602,275,1060,351,35100,7842,28,7,3,4,-3,-25
SAN FRANCISCO,845602,275,1060,352.01,35201,5300,19,5,5,3,-2,-14
SAN FRANCISCO,845602,275,1060,352.02,35202,4322,15,4,10,4,0,-5
SAN FRANCISCO,845602,275,1060,353,35300,7226,26,6,4,4,-2,-22
SAN FRANCISCO,845602,275,1060,354,35400,6691,24,6,4,3,-3,-20
SAN FRANCISCO,845602,275,1060,401,40100,4088,14,3,42,5,2,28
SAN FRANCISCO,845602,275,1060,402,40200,5191,18,4,29,6,2,11
SAN FRANCISCO,845602,275,1060,426.01,42601,3687,13,3,18,5,2,5
SAN FRANCISCO,845602,275,1060,426.02,42602,3243,11,3,10,2,-1,-1
SAN FRANCISCO,845602,275,1060,427,42700,5326,19,5,19,7,2,0
SAN FRANCISCO,845602,275,1060,428,42800,2376,8,2,0,0,-2,-8
SAN FRANCISCO,845602,275,1060,451,45100,4996,18,4,17,2,-2,-1
SAN FRANCISCO,845602,275,1060,452,45200,6474,23,6,9,7,1,-14
SAN FRANCISCO,845602,275,1060,476,47600,5137,18,4,9,2,-2,-9
SAN FRANCISCO,845602,275,1060,477.01,47701,4334,15,4,12,5,1,-3
SAN FRANCISCO,845602,275,1060,477.02,47702,3824,13,3,0,1,-2,-13
SAN FRANCISCO,845602,275,1060,478.01,47801,4005,14,3,5,2,-1,-9
SAN FRANCISCO,845602,275,1060,478.02,47802,3656,13,3,10,2,-1,-3
SAN FRANCISCO,845602,275,1060,479.01,47901,6400,23,6,8,3,-3,-15
SAN FRANCISCO,845602,275,1060,479.02,47902,3536,12,3,1,2,-1,-11
SAN FRANCISCO,845602,275,1060,601,60100,3235,11,3,1,0,-3,-10
SAN FRANCISCO,845602,275,1060,604,60400,1689,6,1,5,0,-1,-1
SAN FRANCISCO,845602,275,1060,605.02,60502,3216,11,3,1,1,-2,-10
SAN FRANCISCO,845602,275,1060,607,60700,9083,33,8,39,5,-3,6
SAN FRANCISCO,845602,275,1060,610,61000,3610,13,3,2,3,0,-11
SAN FRANCISCO,845602,275,1060,611,61100,4307,15,4,75,7,3,60
SAN FRANCISCO,845602,275,1060,612,61200,4089,14,3,4,5,2,-10
SAN FRANCISCO,845602,275,1060,614,61400,5395,19,5,1,5,0,-18
SAN FRANCISCO,845602,275,1060,615,61500,11502,41,10,138,22,12,97
SAN FRANCISCO,845602,275,1060,9802,980200,320,1,0,1,0,0,0
SAN FRANCISCO,845602,275,1060,9803,980300,171,0,0,5,0,0,5
SAN FRANCISCO,845602,275,1060,9804.01,980401,0,0,0,0,0,0,0
SAN FRANCISCO,845602,275,1060,9805.01,980501,797,2,0,1,0,0,-1
SAN FRANCISCO,845602,275,1060,9806,980600,467,1,0,0,0,0,-1
SAN FRANCISCO,845602,275,1060,9809,980900,350,1,0,12,9,9,11
SAN FRANCISCO,845602,275,1060,9901,990100,0,0,0,0,0,0,0
,, , ,,,, , ,,,,
