Alcohol,STORE,Street_Address,City,State,Zip_Code,Business_Start_Date,Business_Location,X,Y
0,STARBUCKS,505 SANSOME ST,San Francisco,CA,94111,03/03/1992,"505 SANSOME ST
San Francisco, CA 94111
(37.795082,,-122.401556)",37.795082,-122.401556
0,STARBUCKS,2020 MARKET ST,San Francisco,CA,94114,03/03/1992,"2020 MARKET ST
San Francisco, CA 94114
(37.768701,,-122.427535)",37.768701,-122.427535
0,STARBUCKS,120  4TH ST,San Francisco,CA,94103,03/03/1992,"01 120 4TH ST
San Francisco, CA 94103
",37.78405679999999,,-122.4041206
0,STARBUCKS,1231 MARKET ST,San Francisco,CA,94103,03/03/1992,"1231 MARKET ST
San Francisco, CA 94103
(37.778367,,-122.415207)",37.778367,-122.415207
0,STARBUCKS,100 W PORTAL AVE,San Francisco,CA,94127,03/03/1992,"100 W PORTAL AVE
San Francisco, CA 94127
(37.739756,,-122.467042)",37.739756,-122.467042
0,STARBUCKS,444 DEHARO ST 218,San Francisco,CA,94107,03/03/1992,"444 DEHARO ST
San Francisco, CA 94107
(37.764194,,-122.401555)",37.764194,-122.401555
0,STARBUCKS,123 MISSION ST,San Francisco,CA,94105,03/03/1992,"123 MISSION ST
San Francisco, CA 94105
(37.792099,,-122.39462)",37.792099,-122.39462
0,STARBUCKS,442 GEARY ST,San Francisco,CA,94102,03/03/1992,"442 GEARY ST
San Francisco, CA 94102
(37.787058,,-122.410593)",37.787058,-122.410593
0,STARBUCKS,140 VAN NESS AVE,San Francisco,CA,94102,03/03/1992,"140 VAN NESS AVE
San Francisco, CA 94102
(37.776977,,-122.419558)",37.776977,-122.419558
0,STARBUCKS,1799 FULTON ST,San Francisco,CA,94117,03/03/1992,"1799 FULTON ST
San Francisco, CA 94117
(37.77582,,-122.446485)",37.77582,-122.446485
0,STARBUCKS,5455 GEARY BL,San Francisco,CA,94121,03/03/1992,"5455 GEARY
BL San Francisco, CA 94121
(37.780336,,-122.477824)",37.780336,-122.477824
0,STARBUCKS,2727 MARIPOSA ST,San Francisco,CA,94110,03/03/1992,"2727 MARIPOSA ST
San Francisco, CA 94110
(37.763033,,-122.410461)",37.763033,-122.410461
0,STARBUCKS,790 MARKET ST,San Francisco,CA,94102,03/03/1992,"790 MARKET ST
San Francisco, CA 94102
(37.785861,,-122.405708)",37.785861,-122.405708
0,STARBUCKS,490 BRANNAN ST,San Francisco,CA,94107,03/03/1992,"490 BRANNAN ST
San Francisco, CA 94107
(37.778525,,-122.39628)",37.778525,-122.39628
0,STARBUCKS,36 2ND ST,San Francisco,CA,94105,03/03/1992,"36 2ND ST
San Francisco, CA 94105
(37.78871,,-122.400695)",37.78871,-122.400695
0,STARBUCKS,1560 VAN NESS AVE,San Francisco,CA,94109,03/03/1992,"1560 VAN NESS AVE
San Francisco, CA 94109
(37.790008,,-122.422179)",37.790008,-122.422179
0,STARBUCKS,1800 IRVING ST,San Francisco,CA,94122,03/03/1992,"1800 IRVING ST
San Francisco, CA 94122
(37.763564,,-122.477377)",37.763564,-122.477377
0,STARBUCKS,455 MARKET ST,San Francisco,CA,94105,03/03/1992,"455 MARKET ST
San Francisco, CA 94105
(37.791197,,-122.398968)",37.791197,-122.398968
0,STARBUCKS,1298 HOWARD ST,San Francisco,CA,94103,03/03/1992,"1298 HOWARD ST
San Francisco, CA 94103
(37.775241,,-122.412847)",37.775241,-122.412847
0,STARBUCKS,27 DRUMM ST,San Francisco,CA,94111,03/03/1992,"27 DRUMM ST
San Francisco, CA 94111
(37.793907,,-122.396507)",37.793907,-122.396507
0,STARBUCKS,675 PORTOLA DR,San Francisco,CA,94127,03/03/1992,"675 PORTOLA DR
San Francisco, CA 94127
(37.744736,,-122.453017)",37.744736,-122.453017
0,STARBUCKS,222 MASON ST,San Francisco,CA,94102,03/03/1992,"222 MASON ST
San Francisco, CA 94102
(37.785613,,-122.409575)",37.785613,-122.409575
0,STARBUCKS,44 MONTGOMERY ST,San Francisco,CA,94104,03/03/1992,"44 MONTGOMERY ST
San Francisco, CA 94104
(37.789704,,-122.402127)",37.789704,-122.402127
0,STARBUCKS,390 SUTTER ST,San Francisco,CA,94108,03/03/1992,"390 SUTTER ST
San Francisco, CA 94108
(37.789435,,-122.406838)",37.789435,-122.406838
0,STARBUCKS,555 CALIFORNIA ST,San Francisco,CA,94104,03/03/1992,"555 CALIFORNIA ST
San Francisco, CA 94104
(37.792739,,-122.403669)",37.792739,-122.403669
0,STARBUCKS,52 CALIFORNIA ST,San Francisco,CA,94111,03/03/1992,"52 CALIFORNIA ST
San Francisco, CA 94111
(37.793634,,-122.397063)",37.793634,-122.397063
0,STARBUCKS,333 MARKET ST,San Francisco,CA,94105,03/03/1992,"333 MARKET ST
San Francisco, CA 94105
(37.792014,,-122.397927)",37.792014,-122.397927
0,STARBUCKS,350 PARNASSUS AVE,San Francisco,CA,94117,03/03/1992,"350 PARNASSUS AVE
San Francisco, CA 94117
(37.764041,,-122.455934)",37.764041,-122.455934
0,STARBUCKS,398 MARKET ST,San Francisco,CA,94111,03/03/1992,"398 MARKET ST
San Francisco, CA 94111
(37.791694,,-122.398338)",37.791694,-122.398338
1,STARBUCKS,565 CLAY ST,San Francisco,CA,94111,03/03/1992,"565 CLAY ST
San Francisco, CA 94111
(37.794734,,-122.402685)",37.794734,-122.402685
0,STARBUCKS,4094 18TH ST,San Francisco,CA,94114,03/03/1992,"4094 18TH ST
San Francisco, CA 94114
(37.760892,,-122.434904)",37.760892,-122.434904
0,STARBUCKS,1 MARKET ST,San Francisco,CA,94105,03/03/1992,"1 MARKET ST
San Francisco, CA 94105
(37.794371,,-122.394944)",37.794371,-122.394944
0,STARBUCKS,701 BATTERY ST,San Francisco,CA,94111,03/03/1992,"701 BATTERY ST
San Francisco, CA 94111
(37.797853,,-122.400914)",37.797853,-122.400914
0,STARBUCKS,1255 BATTERY ST,San Francisco,CA,94111,03/03/1992,"1255 BATTERY ST
San Francisco, CA 94111
(37.802842,,-122.401905)",37.802842,-122.401905
0,STARBUCKS,3251 20TH AVE ,San Francisco,CA,94132,03/03/1992,"3251 20TH AVE
San Francisco, CA 94132
(37.727905,,-122.475605)",37.727905,-122.475605
0,STARBUCKS,687 HOWARD ST,San Francisco,CA,94105,03/03/1992,"687 HOWARD ST
San Francisco, CA 94105
(37.785271,,-122.400148)",37.785271,-122.400148
0,STARBUCKS,199 FREMONT ST,San Francisco,CA,94105,03/03/1992,"199 FREMONT ST
San Francisco, CA 94105
(37.789469,,-122.39543)",37.789469,-122.39543
0,STARBUCKS,2801 JONES ST,San Francisco,CA,94133,03/03/1992,"2801 JONES ST
San Francisco, CA 94133
(37.807079,,-122.417256)",37.807079,-122.417256
0,STARBUCKS,201 POWELL ST,San Francisco,CA,94102,03/03/1992,"201 POWELL ST
San Francisco, CA 94102
(37.786767,,-122.408121)",37.786767,-122.408121
0,STARBUCKS,359 GRANT AVE,San Francisco,CA,94108,03/03/1992,"359 GRANT AVE
San Francisco, CA 94108
(37.790293,,-122.405513)",37.790293,-122.405513
1,STARBUCKS,680 BEACH ST,San Francisco,CA,94109,03/03/1992,"680 BEACH ST
San Francisco, CA 94109
(37.806686,,-122.42044)",37.806686,-122.42044
0,STARBUCKS,1390 MARKET ST,San Francisco,CA,94102,03/03/1992,"1390 MARKET ST
San Francisco, CA 94102
(37.776865,,-122.417111)",37.776865,-122.417111
0,STARBUCKS,350 RHODE ISLAND,San Francisco,CA,94103,03/03/1992,"350 RHODE ISLAND
San Francisco, CA 94103
",37.7656671,-122.4031453
0,STARBUCKS,1501 FILLMORE ST,San Francisco,CA,94115,03/03/1992,"1501 FILLMORE ST
San Francisco, CA 94115
(37.783486,,-122.43275)",37.783486,-122.43275
1,STARBUCKS,280 KING ST,San Francisco,CA,94107,03/03/1992,"280 KING ST
San Francisco, CA 94107
(37.776818,,-122.393702)",37.776818,-122.393702
0,STARBUCKS,425 BATTERY ST,San Francisco,CA,94111,03/03/1992,"425 BATTERY ST
San Francisco, CA 94111
(37.795258,,-122.400389)",37.795258,-122.400389
0,STARBUCKS,3735 BUCHANAN ST,San Francisco,CA,94123,03/03/1992,"3735 BUCHANAN ST
San Francisco, CA 94123
(37.804388,,-122.433584)",37.804388,-122.433584
0,STARBUCKS,295 CALIFORNIA ST,San Francisco,CA,94111,03/03/1992,"295 CALIFORNIA ST
San Francisco, CA 94111
(37.793224,,-122.399927)",37.793224,-122.399927
0,STARBUCKS,7 THIRD ST,San Francisco,CA,94103,03/03/1992,"7 THIRD ST
San Francisco, CA 94103
(37.787539,,-122.403522)",37.787539,-122.403522
0,STARBUCKS,499 BAY ST,San Francisco,CA,94133,03/03/1992,"499 BAY ST
San Francisco, CA 94133
(37.805433,,-122.415123)",37.805433,-122.415123
0,STARBUCKS,675 TOWNSEND,San Francisco,CA,94103,03/03/1992,"675 TOWNSEND
San Francisco, CA 94103
(37.770619,,-122.403169)",37.770619,-122.403169
0,STARBUCKS,865 MARKET ST,San Francisco,CA,94103,03/03/1992,"865 MARKET ST
San Francisco, CA 94103
(37.784904,,-122.406929)",37.784904,-122.406929
0,STARBUCKS,462 POWELL ST,San Francisco,CA,94102,03/03/1992,"462 POWELL ST
San Francisco, CA 94102
(37.78917,,-122.408559)",37.78917,-122.408559
0,STARBUCKS,1 LETTERMAN DR,San Francisco,CA,94129,03/03/1992,"ONE LETTERMAN DR
BLDG C San Francisco, CA 94129
",37.7988821,-122.44918410000002
0,STARBUCKS,1700 OWENS ST,San Francisco,CA,94158,03/03/1992,"1700 OWENS ST
San Francisco, CA 94158
(37.767376,,-122.393487)",37.767376,-122.393487
0,STARBUCKS,PIER 1 THE EMBARCADERO,San Francisco,CA,94111,03/03/1992,"1 THE
EMBARCADERO San Francisco, CA 94111
(37.795294,,-122.393914)",37.795294,-122.393914
0,STARBUCKS,100 1ST ST,San Francisco,CA,94105,03/03/1992,"100 1ST ST
San Francisco, CA 94105
(37.789642,,-122.397384)",37.789642,-122.397384
0,STARBUCKS,60 SPEAR ST ,San Francisco,CA,94105,03/03/1992,"60 SPEAR ST
San Francisco, CA 94105
(37.792775,,-122.394381)",37.792775,-122.394381
0,STARBUCKS,100 MONTGOMERY ST,San Francisco,CA,94104,03/03/1992,"100 MONTGOMERY ST
San Francisco, CA 94104
(37.790291,,-122.40225)",37.790291,-122.40225
0,STARBUCKS,564 MARKET ST,SAN FRANCISCO,CA,94105,03/03/1992,"564 MARKET ST
SAN FRANCISCO, CA 94105
(37.790355,,-122.40002)",37.790355,-122.40002
0,STARBUCKS,685 BEACH ST,SAN FRANCISCO,CA,94109,03/03/1992,"685 BEACH ST
SAN FRANCISCO, CA 94109
(37.806672,,-122.420565)",37.806672,-122.420565
0,STARBUCKS,201 3RD ST,SAN FRANCISCO,CA,94103,03/03/1992,"201 3RD ST
SAN FRANCISCO, CA 94103
(37.784695,,-122.400085)",37.784695,-122.400085
0,STARBUCKS,1 MARKET ST PLZ,SAN FRANCISCO,CA,94105,03/03/1992,"1 MARKET ST
SAN FRANCISCO, CA 94105
(37.794371,,-122.394944)",37.794371,-122.394944
0,STARBUCKS,1375 3RD ST,SAN FRANCISCO,CA,94158,03/03/1992,"1375 3RD ST
SAN FRANCISCO, CA 94158
(37.771844,,-122.389481)",37.771844,-122.389481
0,TACO BELL,200 Duboce AVE,SAN FRANCISCO,CA,94103,07/09/2015,,37.7699194,-122.424823
0,TACO BELL,4285 Mission ST,SAN FRANCISCO,CA,94112,07/09/2015,,37.7289023,-122.43074439999998
0,TACO BELL,1150 Taraval ST,SAN FRANCISCO,CA,94116,07/09/2015,,37.743128,-122.47877879999999
0,TACO BELL,2040 Ocean AVE,SAN FRANCISCO,CA,94127,07/09/2015,,37.7264994,-122.46509509999998
0,TACO BELL,691 Eddy ST,SAN FRANCISCO,CA,94109,07/09/2015,,37.7829986,-122.4189533
0,TACO BELL,1881 Geary Boulevard,SAN FRANCISCO,CA,94115,07/09/2015,,37.7837501,-122.43423760000002
0,TACO BELL,7 DRUMM ST,San Francisco,CA,94111,07/09/2015,"7 DRUMM ST
San Francisco, CA 94111
(37.793755,,-122.396474)",37.793755,-122.396474
0,TACO BELL,4150 Geary Boulevard,SAN FRANCISCO,CA,94118,07/09/2015,,37.7812514,-122.46411569999998
0,TACO BELL,1610 Jerrold AVE,SAN FRANCISCO,CA,94124,07/09/2015,,37.7392787,-122.38952360000002
0,TACO BELL,2101 Lombard ST,SAN FRANCISCO,CA,94123,07/09/2015,,37.799661, -122.436284
1,TACO BELL,710 3RD ST,SAN FRANCISCO,CA,94107,07/09/2015,"710 3RD ST
SAN FRANCISCO, CA 94107
(37.778736,,-122.392629)",37.778736,-122.392629
